Record ID,Agency Code,Agency Name,Agency Type,City,State,Year,Month,Incident,Crime Type,Crime Solved,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Perpetrator Sex,Perpetrator Age,Perpetrator Race,Perpetrator Ethnicity,Relationship,Weapon,Victim Count,Perpetrator Count,Record Source
496220,TX01404,Killeen,Municipal Police,Bell,Texas,2005,February,1,Murder or Manslaughter,Yes,Female,39,White,Not Hispanic,Male,44,White,Hispanic,Wife,Handgun,0,0,FBI
150074,MI82349,Detroit,Municipal Police,Wayne,Michigan,1987,March,45,Murder or Manslaughter,Yes,Male,20,Black,Unknown,Male,19,Black,Unknown,Acquaintance,Handgun,0,0,FBI
215261,SC01008,North Charleston,Municipal Police,Charleston,South Carolina,1990,February,1,Murder or Manslaughter,Yes,Male,30,Black,Not Hispanic,Male,29,White,Not Hispanic,Acquaintance,Knife,0,0,FBI
8666,ILCPD00,Chicago,Municipal Police,Cook,Illinois,1980,December,30,Murder or Manslaughter,Yes,Female,52,Black,Unknown,Male,57,Black,Unknown,Friend,Handgun,0,0,FBI
213342,OH01202,Springfield,Municipal Police,Clark,Ohio,1990,January,1,Murder or Manslaughter,Yes,Male,20,White,Unknown,Male,23,White,Unknown,Stranger,Blunt Object,0,0,FBI
96068,NY03030,New York,Municipal Police,New York,New York,1984,May,16,Murder or Manslaughter,Yes,Male,36,White,Hispanic,Female,44,White,Hispanic,Common-Law Husband,Handgun,0,0,FBI
101886,VA10300,Chesapeake,Municipal Police,Chesapeake,Virginia,1984,May,2,Murder or Manslaughter,Yes,Female,59,White,Not Hispanic,Male,63,White,Not Hispanic,Employee,Fire,0,1,FBI
142593,CA01913,Claremont,Municipal Police,Los Angeles,California,1987,May,1,Murder or Manslaughter,Yes,Male,24,Black,Unknown,Male,20,Black,Unknown,Stranger,Handgun,0,0,FBI
196943,TXHPD00,Houston,Municipal Police,Harris,Texas,1989,May,25,Murder or Manslaughter,Yes,Male,41,Black,Not Hispanic,Male,22,Black,Not Hispanic,Acquaintance,Knife,0,0,FBI
65218,AL04701,Huntsville,Municipal Police,Madison,Alabama,1983,August,1,Murder or Manslaughter,No,Male,38,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
194607,SC00800,Berkeley,Sheriff,Berkeley,South Carolina,1989,July,1,Murder or Manslaughter,Yes,Male,24,White,Not Hispanic,Male,60,White,Not Hispanic,Acquaintance,Rifle,0,0,FBI
601851,LA02803,Lafayette,Municipal Police,Lafayette,Louisiana,2013,March,1,Murder or Manslaughter,Yes,Male,38,White,Unknown,Male,37,White,Unknown,Stranger,Blunt Object,0,0,FBI
331741,TN05600,Macon,Sheriff,Macon,Tennessee,1995,December,1,Murder or Manslaughter,Yes,Male,20,White,Unknown,Male,22,White,Unknown,Friend,Rifle,0,0,FBI
593753,TXSPD00,San Antonio,Municipal Police,Bexar,Texas,2011,April,4,Murder or Manslaughter,Yes,Male,49,White,Hispanic,Male,0,White,Hispanic,Stranger,Knife,0,0,FBI
349060,OH05702,Dayton,Municipal Police,Montgomery,Ohio,1996,June,1,Murder or Manslaughter,Yes,Male,15,Black,Unknown,Male,15,Black,Unknown,Stranger,Shotgun,0,2,FBI
